hyp	c_O	c_notO	delta	likelihood	prior	posterior
hyp0	12	8	-4	0.0180	1.0000	0.0043
hyp1	10	8	-2	0.1192	1.0000	0.0287
hyp2	10	6	-4	0.0180	1.0000	0.0043
hyp3	10	6	-4	0.0180	1.0000	0.0043
hyp4	12	10	-2	0.1192	1.0000	0.0287
hyp5	7	4	-3	0.0474	1.0000	0.0114
hyp6	12	10	-2	0.1192	1.0000	0.0287
hyp7	10	8	-2	0.1192	1.0000	0.0287
hyp8	12	10	-2	0.1192	1.0000	0.0287
hyp9	9	8	-1	0.2689	1.0000	0.0648
hyp10	8	10	2	0.8808	1.0000	0.2123
hyp11	12	10	-2	0.1192	1.0000	0.0287
hyp12	7	6	-1	0.2689	1.0000	0.0648
hyp13	11	10	-1	0.2689	1.0000	0.0648
hyp14	12	10	-2	0.1192	1.0000	0.0287
hyp15	14	14	0	0.5000	1.0000	0.1205
hyp16	10	10	0	0.5000	1.0000	0.1205
hyp17	7	6	-1	0.2689	1.0000	0.0648
hyp18	10	6	-4	0.0180	1.0000	0.0043
hyp19	10	8	-2	0.1192	1.0000	0.0287
hyp20	12	10	-2	0.1192	1.0000	0.0287
